,source,tag,video_id,post_date_utc,description,text_language,category_type,is_aigc,aigc_description,collected,is_reviewing,likes,comments,shares,views,author_follower_count,author_following_count,author_total_likes,author_video_count,datetime
0,TikTok,OliviaHenderson,7573038672262466830,2027-03-20 14:31:59.722000+00:00,When running to social media goes wrong. DoorDash girl has been arrested and charged with 2 felonies. ,en,114,False,,False,False,2019,306,27,49300,62600,765,1000000,687,2025-11-15 13:37:48
1,TikTok,OliviaHenderson,7591774242346257677,2027-05-11 07:20:27.720000+00:00,"Police have now confirmed new details in the Olivia Henderson / “DoorDash girl” case and it changes everything. Authorities say her story did not align with the evidence, there is no evidence of a sexual assault, and that Ring camera footage reportedly shows she opened the door herself. Police also say there is no evidence the man invited her inside, and even her own TikTok video admitted the instructions said to leave the food at the door, not enter the home. We didn’t “switch up.” We didn’t jump on a bandwagon. We noticed inconsistencies from the very beginning and got attacked for it. Now the police are backing what many of us said all along. #fyp #doordash #commentary #tiktoknews #drama",en,114,False,,False,False,52,3,0,4133,10400,0,9322,182,2026-01-05 01:21:23
2,TikTok,OliviaHenderson,7573068947105320222,2027-03-20 16:32:17.807000+00:00,#doordash #oliviahenderson #arrested,un,114,False,,False,False,195,20,12,3048,60400,2906,3800000,914,2025-11-15 15:35:17
3,TikTok,OliviaHenderson,7573593663788436749,2027-03-22 03:17:20.013000+00:00,DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson,en,114,False,,False,False,156,14,9,20300,10300,0,8135,83,2025-11-17 01:31:27
4,TikTok,OliviaHenderson,7581702595585068319,2027-04-13 12:19:20.010000+00:00,DoorDash girl Olivia Henderson was seen in court and she plead not guilty #fyp #viraltiktok #foryou #irimonsterhighdoll #viralvideo,en,114,False,,False,False,25,6,1,13400,2,0,117,9,2025-12-08 21:58:15
5,TikTok,OliviaHenderson,6908732882416667906,2022-03-13 11:17:57.218000+00:00,asmr?? #asmr#presacanario,en,120,False,,False,False,1,0,0,39,27,222,55,13,2020-12-21 09:32:03
6,TikTok,OliviaHenderson,7565264727253765407,2027-02-27 03:41:06.799000+00:00,#fyp #xyzbca #blowthisup #newyork #doordash TikTok keeps taking my video down,en,114,False,,False,False,1012,75,130,215500,179,843,8555,259,2025-10-25 15:50:55
7,TikTok,OliviaHenderson,7573409509209591070,2027-03-21 15:05:34.140000+00:00,#dayichisme  	#OliviaHenderson 	•	#CasoOlivia 	•	#DoorDashNews 	•	#HistoriaReal,un,114,False,,False,False,160,4,1,9515,32300,464,1200000,1233,2025-11-16 13:36:50
8,TikTok,OliviaHenderson,7564678613115604255,2027-02-25 12:52:06.299000+00:00,The Livie Rose Henderson Case. #analoghorror #truestory #horrorstory #horrortok #scary ,en,120,False,,False,False,4339,187,80,298600,71,0,4482,8,2025-10-24 01:56:30
9,TikTok,OliviaHenderson,7575066502643174686,2027-03-26 04:49:52.160000+00:00,Olivia Henderson aka DoorDash girl has been arrested #viralvideo #trending #fyp #foryoupage,en,114,False,,False,False,857,57,54,37700,12400,3,87100,75,2025-11-21 00:46:49
