source,tag,video_id,post_date_utc,description,text_language,category_type,is_aigc,aigc_description,collected,is_reviewing,likes,comments,shares,views,author_follower_count,author_following_count,author_total_likes,author_video_count
TikTok,OliviaHenderson,7573038672262466830,2015-01-21T09:47:15.468000+00:00,When running to social media goes wrong. DoorDash girl has been arrested and charged with 2 felonies. ,en,114,False,,False,False,2019,306,27,49300,62600,765,1000000,687
TikTok,OliviaHenderson,7591774242346257677,2015-01-21T10:59:57.683000+00:00,"Police have now confirmed new details in the Olivia Henderson / “DoorDash girl” case and it changes everything. Authorities say her story did not align with the evidence, there is no evidence of a sexual assault, and that Ring camera footage reportedly shows she opened the door herself. Police also say there is no evidence the man invited her inside, and even her own TikTok video admitted the instructions said to leave the food at the door, not enter the home. We didn’t “switch up.” We didn’t jump on a bandwagon. We noticed inconsistencies from the very beginning and got attacked for it. Now the police are backing what many of us said all along. #fyp #doordash #commentary #tiktoknews #drama",en,114,False,,False,False,52,3,0,4133,10400,0,9322,182
TikTok,OliviaHenderson,7573068947105320222,2015-01-21T09:47:22.517000+00:00,#doordash #oliviahenderson #arrested,un,114,False,,False,False,195,20,12,3048,60400,2906,3800000,914
TikTok,OliviaHenderson,7573593663788436749,2015-01-21T09:49:24.687000+00:00,DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson,en,114,False,,False,False,156,14,9,20300,10300,0,8135,83
TikTok,OliviaHenderson,7581702595585068319,2015-01-21T10:20:52.695000+00:00,DoorDash girl Olivia Henderson was seen in court and she plead not guilty #fyp #viraltiktok #foryou #irimonsterhighdoll #viralvideo,en,114,False,,False,False,25,6,1,13400,2,0,117,9
TikTok,OliviaHenderson,6908732882416667906,2015-01-19T14:49:24.723000+00:00,asmr?? #asmr#presacanario,en,120,False,,False,False,1,0,0,39,27,222,55,13
TikTok,OliviaHenderson,7565264727253765407,2015-01-21T09:17:05.455000+00:00,#fyp #xyzbca #blowthisup #newyork #doordash TikTok keeps taking my video down,en,114,False,,False,False,1012,75,130,215500,179,843,8555,259
TikTok,OliviaHenderson,7573409509209591070,2015-01-21T09:48:41.810000+00:00,#dayichisme  	#OliviaHenderson 	•	#CasoOlivia 	•	#DoorDashNews 	•	#HistoriaReal,un,114,False,,False,False,160,4,1,9515,32300,464,1200000,1233
TikTok,OliviaHenderson,7564678613115604255,2015-01-21T09:14:48.990000+00:00,The Livie Rose Henderson Case. #analoghorror #truestory #horrorstory #horrortok #scary ,en,120,False,,False,False,4339,187,80,298600,71,0,4482,8
TikTok,OliviaHenderson,7575066502643174686,2015-01-21T09:55:07.609000+00:00,Olivia Henderson aka DoorDash girl has been arrested #viralvideo #trending #fyp #foryoupage,en,114,False,,False,False,857,57,54,37700,12400,3,87100,75
TikTok,OliviaHenderson,7574226100356680990,2015-01-21T09:51:51.938000+00:00,Olivia Henderson AKA “Door Dash Girl” arrested and charged with TWO FELONIES 😬 #oliviahenderson #doordashgirl #doordash #teatok ,en,114,False,,False,False,97,12,1,21000,393600,321,31400000,1259
