video_id,url,video_title,channel_id,channel_title,publish_date,description
IgQK3tz-fKM,https://www.youtube.com/watch?v=IgQK3tz-fKM,Инцидент с Пенсилом: Великая Ошибка DoorDash ✏️,UCDDZOBAdDlPbUA4z42r_wvw,i11ushenka,10-23-25,"Мне очень интересно, чем это закончится. У мужчины есть все шансы добиться реального срока."
4pM7DLEL7xA,https://www.youtube.com/watch?v=4pM7DLEL7xA,The Doordash Girl Situation is INSANE😭 #roblox #robloxrants #robloxshorts,UCJhGkYMvUaWJ3mb1FhOMkTw,Sammy,10-19-25,
9dn7N5-EKRE,https://www.youtube.com/watch?v=9dn7N5-EKRE,The Good ending,UC8bBMFh3U4GZYWhXBalFZbQ,Zairegardnerd,10-25-25,
zx3JMdSDTJs,https://www.youtube.com/watch?v=zx3JMdSDTJs,This woman CAN&#39;T HANDLE being held accountable,UCS_Jr83ueVLKc6XNLWwqRag,emilywking,10-24-25,"Hey guys! If you haven't heard about this viral doordash girl story, I'll give you a quick summary. Basically this girl took a video of a ..."
Bn7WbKVar1I,https://www.youtube.com/watch?v=Bn7WbKVar1I,They Are Calling Her &quot;The Girl Who Cried Wolf&quot;,UCgEvEKgmQ-CHPIeOSaGCffw,Amala Ekpunobi,10-25-25,She was fired from DoorDash after claiming to get SA'ed while on the job and now she's going viral. Let's talk about it. Join the ...
xXAIcenT5KQ,https://www.youtube.com/watch?v=xXAIcenT5KQ,Doordash Girl Scandal | Victim Or Aggressor?,UCaiVt4r6YLPzJVgr7pOmD6w,Aba N Preach,10-24-25,"This female Doordash driver went viral for seemingly exposing a customer who was already ""exposed"" waist down on his living ..."
Y1vPwS2h088,https://www.youtube.com/watch?v=Y1vPwS2h088,#actingchallenge,UCwihWnfD0mCL7ccUeR9FpyQ,MuffinYells,10-20-25,Doordash Girl might be cooked #roblox #relatable #robloxrant #rblx #shorts.
mgeeD8rYAwc,https://www.youtube.com/watch?v=mgeeD8rYAwc,She F*cked Around And Found Out ,UCr0XW6TU9XVWlWPpEwEyf3g,JAMARI,10-23-25,"Recently a ""tiktok"" went viral after a doordash girl driver had an issue with her delivery. She has now been let go, and now as ..."
2EM-F3VfwUI,https://www.youtube.com/watch?v=2EM-F3VfwUI,This woman STILL CAN&#39;T HANDLE being held accountable; doordash girl update,UCS_Jr83ueVLKc6XNLWwqRag,emilywking,11-07-25,"Hey guys! If you haven't heard about this viral doordash girl story, I'll give you a quick summary. Basically this girl took a video of a ..."
lqvigepgbqI,https://www.youtube.com/watch?v=lqvigepgbqI,ICE agents chase woman back to her Louisiana home,UCupvZG-5ko_eiXAupbDfxWw,CNN,12-05-25,"On Wednesday, the Department of Homeland Security announced it was launching an immigration enforcement operation in the ..."
eAF4_2edowo,https://www.youtube.com/watch?v=eAF4_2edowo,She&#39;s going to prison for 8 years..,UCQeRaTukNYft1_6AZPACnog,Asmongold TV  ,11-26-25,Asmongold reacts to @atozy https://www.youtube.com/watch?v=IJAwKvrhY58 ▻ Asmongold's Twitch: ...
eE61i2y1mJ0,https://www.youtube.com/watch?v=eE61i2y1mJ0,SHUT IT DOWN.,UCQeRaTukNYft1_6AZPACnog,Asmongold TV  ,11-17-25,Asmongold's Twitch: https://www.twitch.tv/zackrawrr ▻ Asmongold's X: https://x.com/asmongold ▻ Asmongold's Kick: ...
zfQxhG5oWdU,https://www.youtube.com/watch?v=zfQxhG5oWdU,She&#39;s 100% f*cked now..,UCMwJJL5FJFuTRT55ksbQ4GQ,Asmongold Clips,12-10-25,Asmongold Clips / Asmongold Reacts To: DoorDash Girl updates as the court case will be recorded.. On this Asmongold Clips ...
6GfCWFftDSA,https://www.youtube.com/watch?v=6GfCWFftDSA,Why DoorDash Girl’s Legal Problems Are Even Worse | LAWYER EXPLAINS,UCJvDEmKLft6F2MxhuNUMwag,LegalBytes,11-30-25,"MasterClass has great offers this holiday season. If you use my link, you'll get up to 50% off an annual subscription. Head over to ..."
p8UbRG5hbiM,https://www.youtube.com/watch?v=p8UbRG5hbiM,Victim Goes TOO FAR &amp; is Arrested,UCN3rhkHmloHwqgat8LHk2yg,Angry Cops,11-22-25,Stop leaving yourself vulnerable to data breaches. Go to my sponsor https://aura.com/angrycops to get a 14-day free trial and see ...
IJAwKvrhY58,https://www.youtube.com/watch?v=IJAwKvrhY58,TikToker Facing 8 Years Prison After Caught Lying..,UCO7dBj4bwaDOMoX-kKYF2Ww,Atozy,11-23-25,TikToker Facing 8 Years Prison After Caught Lying.. TikTok Doordash girl / driver has been a big topic on tiktok over the last ...
tKdJkhBFqtI,https://www.youtube.com/watch?v=tKdJkhBFqtI,This woman CAN&#39;T HANDLE being held accountable: COURT update in the viral doordash girl story,UCS_Jr83ueVLKc6XNLWwqRag,emilywking,12-12-25,Hey guys! UPDATE; She appeared in court today after being charged with 2 felonies. Let's talk about the publics response to the ...
6Krjoo3fHtY,https://www.youtube.com/watch?v=6Krjoo3fHtY,There&#39;s no f**king way..,UCMwJJL5FJFuTRT55ksbQ4GQ,Asmongold Clips,12-19-25,Asmongold Clips / Asmongold Reacts To: Another DoorDash girl bandit.. Video breakdown by The Dadvocate: ...
OqB0y-8Ej0c,https://www.youtube.com/watch?v=OqB0y-8Ej0c,TikToker Humiliated in Court After Caught Lying..,UCO7dBj4bwaDOMoX-kKYF2Ww,Atozy,12-18-25,Get a free sample pack of Gamer Supps here! http://gamersupps.gg/atozy (DONT FORGET TO USE CODE: ATOZY) TikToker ...
qYbQZNOX9zc,https://www.youtube.com/watch?v=qYbQZNOX9zc,Why DoorDash Girl (Hilariously) Pled Not Guilty | LAWYER EXPLAINS,UCJvDEmKLft6F2MxhuNUMwag,LegalBytes,12-15-25,Get the Exclusive Tinggly Deal: Use code LEGAL for 20% off all experience and hotel gift boxes at https://tinggly.com/legalbytes.
lP_9nYehuss,https://www.youtube.com/watch?v=lP_9nYehuss,It’s Getting MUCH Worse for the DoorDash Girl… ,UCMhMHJ4XMIgrq0Bp8Xn06Dw,The Poor Mans Podcast Reacts,12-13-25,Original Video: https://youtu.be/Djzvi2sVsdY?si=nMj0ri_TymRV8hdm.
46xekr1CEUU,https://www.youtube.com/watch?v=46xekr1CEUU,This is a Nightmare For The TikTok DoorDash Girl…,UCO7dBj4bwaDOMoX-kKYF2Ww,Atozy,01-22-26,This is a Nightmare For The TikTok DoorDash Girl… CHECK OUT OUR MATS HERE: https://mat.city/ After the tiktok doordash girl ...
ZSDPc8de7cw,https://www.youtube.com/watch?v=ZSDPc8de7cw,Things Got Worse For The TikTok DoorDash Girl.. LIVE AFTER TRIAL,UCO7dBj4bwaDOMoX-kKYF2Ww,Atozy,01-20-26,CHECK OUT OUR MATS HERE: https://mat.city/ My other Socials: Twitter: @atozy Instagram: @atozy atozy is a budget talk show ...
_0lUbqA1d24,https://www.youtube.com/watch?v=_0lUbqA1d24,She Has a LEGIT Reason to NEVER Use DoorDash Again,UCkU_KcVKHrxgE4uhbIWaQtg,Lindey Glenn,01-19-26,Some experiences stick with you This clip shows why she's done with DoorDash for good—from messed up orders to shady ...
RuHOwKXtDek,https://www.youtube.com/watch?v=RuHOwKXtDek,Why DoorDash Girl’s Case Isn’t Getting Any Better for Her | LAWYER EXPLAINS,UCJvDEmKLft6F2MxhuNUMwag,LegalBytes,01-25-26,"Playlist: https://www.youtube.com/playlist?list=PLbQVtXJ42xmgetTLldxnG0BMyZB-XJ85V CONTEXT: Olivia Henderson, aka ..."
5bjJBcpy9sU,https://www.youtube.com/watch?v=5bjJBcpy9sU,TikTok DoorDash Girl Trial Update: It Got Worse For Her..,UCO7dBj4bwaDOMoX-kKYF2Ww,Atozy,01-20-26,
BMteNzu1jIA,https://www.youtube.com/watch?v=BMteNzu1jIA,TikTok Doordash Girl’s NEW CHARGES Show She’s Facing 8 YEARS In Prison.. (Court Update),UCAamiLxEcpjVPO-xEr40v3w,WADE'S WORLD,01-22-26,"The Doordash girl incident has gotten EVEN WORSE for her. After exposing a man inside his own house, she is now facing up to ..."
X4jrbP6ZnP4,https://www.youtube.com/watch?v=X4jrbP6ZnP4,DoorDash Lawsuit?,UC04RYGK0kWq2GJH7uKuvdFg,Mike Rafi - Personal Injury Lawyer,10-22-25,DoorDash Lawsuit? #lawyer #law #court #attorney #personalinjurylawyer.
50AKW9lBuNM,https://www.youtube.com/watch?v=50AKW9lBuNM,TikToker Fired By DoorDash After SA Story Goes Viral...,UC0VqGUZ_F92K2PVPcYFan8g,Dankyjabo,10-19-25,Instagram - https://www.instagram.com/dankyjabo/ Spotify (rate 5 stars pls) ...
z_1OsbwBfJ0,https://www.youtube.com/watch?v=z_1OsbwBfJ0,DoorDash Girl: How This TikToker Ruined Her Life Making Serious Allegations. ,UCLuqzTYgef441A0VYecDHxA,iNabber,10-21-25,The DoorDash Girl TikTok situation is something going absolutely viral on TikTok right now where a woman has been accused of ...
VCwKVFgL6zU,https://www.youtube.com/watch?v=VCwKVFgL6zU,Let’s breakdown the DoorDash Girl situation,UCAUT6w_cx_unIpMu4fw4N2Q,The Law Says What?!,10-23-25,
mja0Lze2l0c,https://www.youtube.com/watch?v=mja0Lze2l0c,DoorDash Girl REGRETS Falsely Accusing Man After Getting FIRED,UC62oKTWLypC5ZczOXRFPtpA,Mediocre Tutorials and Reviews,10-21-25,Stop leaving yourself vulnerable to data breaches. Go to my sponsor https://aura.com/mtr to get a 14-day free trial and see if any of ...
54oSf8j9Eh0,https://www.youtube.com/watch?v=54oSf8j9Eh0,Everyone is Wrong About the DoorDash Girl Controversy,UCwN2ku9RZVVPqBOFqwP03YA,Ryan Beard Productions,10-24-25,Consider becoming a member or supporting me on Patreon to check out my video about AI that I just released!
