,video_id,parent_id,parent_avg,parent_category,replies_avg,replies_category,replies_stdev
0,50AKW9lBuNM,Ugw--CbDpgEGVYWbJat4AaABAg,0.38495,sympathetic,0.041222222222222216,neutral,0.4241501319632524
1,GPcb8SYe8tA,Ugw-28hB9VytV_Ex2tV4AaABAg,0.0,neutral,-0.09273333333333333,inflammatory,0.16061884488855388
2,p8UbRG5hbiM,Ugw-9wYWWGIqZusZBVt4AaABAg,-0.8455,inflammatory,-0.2786,inflammatory,0.37477355296231885
3,a7jLOtY-1VY,Ugw-AQmRTTEDXj0sMbN4AaABAg,-0.6064,inflammatory,-0.21486,inflammatory,0.3526280519187321
4,Bn7WbKVar1I,Ugw-Cdiobj2_XxzMG_N4AaABAg,-0.33395,inflammatory,-0.5574,inflammatory,
5,p8UbRG5hbiM,Ugw-CvaAbQG_H2b0Qct4AaABAg,-0.22655,inflammatory,-0.019927272727272724,neutral,0.3197626872882735
6,rdmy9RjkNtA,Ugw-FAEeKH8rIQ8McwN4AaABAg,-0.4278,inflammatory,0.5267,sympathetic,
7,13q2vOdV9kE,Ugw-GLIcKGNIvdyCTad4AaABAg,0.5574,sympathetic,-0.17656,inflammatory,0.48967236801763686
8,Sy8scM6B_nU,Ugw-GOST7emT7ivvrtd4AaABAg,-0.26886666666666664,inflammatory,0.0594222222222222,sympathetic,0.3269242143745924
9,kzEZ-0ym5Xg,Ugw-JIBmvsefpRRok6x4AaABAg,-0.4019,inflammatory,0.7402,sympathetic,
10,TybnJ6mrvI4,Ugw-JQcD4MYCsK8Y85V4AaABAg,0.0,neutral,0.7947,sympathetic,0.09588367952889588
11,OqB0y-8Ej0c,Ugw-TkQ8iCrTnPYQCWh4AaABAg,-0.3384,inflammatory,-0.12183000000000002,inflammatory,0.39565494801517254
12,gc-7CsqGK9o,Ugw-Tooq6aiEEvx6hmB4AaABAg,-0.4767,inflammatory,-0.19726249999999998,inflammatory,0.41383933023578123
13,nihE9Yt3b-U,Ugw-V9ivQtSDOr3OZ7V4AaABAg,-0.3196,inflammatory,-0.034589999999999996,neutral,0.22410895886698604
14,fo6qLarJ52U,Ugw-WHp7jGTrvZQBszh4AaABAg,0.3182,sympathetic,0.0,neutral,
15,Sy8scM6B_nU,Ugw-WgdXJm7N-_klYtp4AaABAg,0.0,neutral,-0.23645999999999998,inflammatory,0.2188087703909512
16,54oSf8j9Eh0,Ugw-aBPrXz0E69nOyvx4AaABAg,-0.194825,inflammatory,-0.09464473684210525,inflammatory,0.3819930476920542
17,Djzvi2sVsdY,Ugw-aHp-AIowa_3f2Dh4AaABAg,0.2732,sympathetic,0.14368,sympathetic,0.3212782470071698
18,eE61i2y1mJ0,Ugw-bFriKJDNRHhH_-p4AaABAg,-0.44885,inflammatory,0.03698333333333335,neutral,0.5497291239025514
19,lhdAgnXWzFA,Ugw-j1dycUVwHwS-8Cp4AaABAg,-0.34,inflammatory,-0.32985,inflammatory,0.4664783435487654
20,fpVuA8E0KZs,Ugw-jNFYK-qreq7RWMN4AaABAg,-0.17020000000000002,inflammatory,-0.24328000000000002,inflammatory,0.4550195677111041
21,9dn7N5-EKRE,Ugw-jzeWVdro7QJ0HKh4AaABAg,0.0,neutral,-0.44777500000000003,inflammatory,0.30838883869772804
22,4pM7DLEL7xA,Ugw-lo8qAmkU-CXt_Qd4AaABAg,-0.2023,inflammatory,-0.22571428571428573,inflammatory,0.30616106016589495
23,xXAIcenT5KQ,Ugw-mniSFCRugQvj2-54AaABAg,0.021799999999999986,neutral,-0.21457777777777778,inflammatory,0.5107186646720917
24,kzEZ-0ym5Xg,Ugw-noZHqxvLp6q2l6p4AaABAg,-0.27695000000000003,inflammatory,0.7184,sympathetic,
25,p8UbRG5hbiM,Ugw-syB4SrP3uSChJul4AaABAg,-0.3548,inflammatory,-0.59415,inflammatory,0.32944104935481244
26,Djzvi2sVsdY,Ugw-tgt1SeIS7uTrpnB4AaABAg,-0.47459999999999997,inflammatory,0.15513636363636366,sympathetic,0.4042430290622889
27,xXAIcenT5KQ,Ugw-wIL3Vyemj8-DIt54AaABAg,-0.5267,inflammatory,-0.35029166666666667,inflammatory,0.38774173798907424
28,vMKNBsd_XYg,Ugw07Xn4yxU33GRjR1N4AaABAg,0.024462499999999998,neutral,-0.02306666666666667,neutral,0.3435261306279952
29,qYbQZNOX9zc,Ugw08hDKZKExggxBlah4AaABAg,-0.6124,inflammatory,0.0,neutral,
30,pgZTLDI3AAA,Ugw0BtozIZk4UTwWUOh4AaABAg,-0.8074,inflammatory,0.3294166666666667,sympathetic,0.32324570479229364
31,mja0Lze2l0c,Ugw0Pd1Wo-2n6N4U-Yl4AaABAg,0.4215,sympathetic,0.0,neutral,
32,zfQxhG5oWdU,Ugw0PgDUtBEIcT9OStJ4AaABAg,0.0,neutral,0.049090909090909095,neutral,0.5655120042130767
33,GPcb8SYe8tA,Ugw0WBqE3csZYBt3AOl4AaABAg,0.2057,sympathetic,0.14785,sympathetic,0.40491005297473165
34,fo6qLarJ52U,Ugw0YHMtKbuPH8M9ThV4AaABAg,-0.56265,inflammatory,-0.20181999999999997,inflammatory,0.4206518061294876
35,Sy8scM6B_nU,Ugw0_sxxpRHCMFECTZx4AaABAg,-0.1531,inflammatory,-0.36345,inflammatory,0.5139959192445014
36,ZSDPc8de7cw,Ugw0a0WzK4VnN38lOL14AaABAg,-0.019066666666666666,neutral,-0.32353333333333334,inflammatory,0.2803200373382776
37,fo6qLarJ52U,Ugw0bOnlyuGtFlBjU4p4AaABAg,0.8673,sympathetic,0.15445,sympathetic,0.21842528470852454
38,ZSDPc8de7cw,Ugw0dVnWuIyYkWAg7q94AaABAg,0.050199999999999995,sympathetic,0.09340833333333333,sympathetic,0.2693304913310152
39,Bn7WbKVar1I,Ugw0fExktOYhI00aqlx4AaABAg,-0.46015,inflammatory,-0.06487777777777776,inflammatory,0.23593035931063308
40,fo6qLarJ52U,Ugw0hUNPOCBLG3k8xzV4AaABAg,0.2023,sympathetic,0.016700000000000003,neutral,0.36399546700474167
41,CJHJd1gOB48,Ugw0rVL4vUtTgJVIJVB4AaABAg,0.0,neutral,0.0,neutral,
42,zx3JMdSDTJs,Ugw0wT8XmhJIY8FWf4t4AaABAg,-0.27115,inflammatory,0.045149999999999996,neutral,0.3547554721212909
43,fpVuA8E0KZs,Ugw115crGqkAY2d7OMJ4AaABAg,-0.8765,inflammatory,-0.17350000000000002,inflammatory,0.3384326422396831
44,ZSDPc8de7cw,Ugw11B3yKTUZQER1dLx4AaABAg,-0.5574,inflammatory,-0.09712,inflammatory,0.4136847918403576
