,video_id,comments_avg,comments_category,comments_stdev,comments_pos_count,comments_neu_count,comments_neg_count
0,-UScZA0z50A,0.32130833333333336,sympathetic,0.5431109738573162,6,4,2
1,13q2vOdV9kE,-0.08168762541806021,inflammatory,0.3881074597100621,41,60,73
2,2EM-F3VfwUI,-0.10402414307004472,inflammatory,0.35373922410438674,69,97,160
3,2cV4FlR19_s,0.24235,sympathetic,0.9388256733813791,1,0,0
4,2ytZhL25V4w,-0.06439035087719298,inflammatory,0.40058665989085807,69,66,106
5,3L2BXNMGTew,-0.04423527454242929,neutral,0.38290446909592585,71,54,87
6,3nR468SDg0s,-0.24381666666666665,inflammatory,0.5312801348315845,0,0,1
7,46xekr1CEUU,-0.010403343465045595,neutral,0.38133382163139773,122,125,136
8,4pM7DLEL7xA,-0.13476065217391303,inflammatory,0.3246393091431906,43,68,145
9,50AKW9lBuNM,-0.12981349306431275,inflammatory,0.39050056875633415,72,70,175
10,54oSf8j9Eh0,-0.06833974895397489,inflammatory,0.3916336048794672,89,91,131
11,5bjJBcpy9sU,0.012643042071197411,neutral,0.41551158366626273,66,40,63
12,61-61BHIIp0,-0.07975384615384615,inflammatory,0.3820316958637887,14,14,22
13,6D_RgBOrjI0,-0.10761229235880398,inflammatory,0.3982088231949125,79,81,158
14,6GfCWFftDSA,-0.043417659137576996,neutral,0.3713297425665709,142,141,179
15,6Krjoo3fHtY,-0.0003136633663366308,neutral,0.3956520726731519,121,114,110
16,7H-oD45q0MM,-0.08353562300319489,inflammatory,0.3711411257957965,62,69,116
17,7N4tatSKaRI,0.011245454545454543,neutral,0.3772989699525732,3,4,3
18,7bTckdh1-W0,-0.07897046263345196,inflammatory,0.36226413372579314,70,72,123
19,8QB4UxnzCrg,-0.06330656565656566,inflammatory,0.3244945013008765,30,48,52
20,8zjWbdItFTo,-0.09604721407624633,inflammatory,0.3620350552162747,35,49,80
21,9dn7N5-EKRE,-0.03732445141065831,neutral,0.38670363137646546,64,65,75
22,BMteNzu1jIA,0.0027310810810810813,neutral,0.4066159464945053,41,31,45
23,Bn7WbKVar1I,-0.09550678148546823,inflammatory,0.37547505611752946,92,93,187
24,Bngr9lb8MPY,-0.017216666666666665,neutral,0.4047216095951536,24,21,31
