video_id,type,hook_stdev,hook_compound,hook_category,overall_stdev,overall_compound,overall_category,pos_count,neu_count,neg_count,delta_compound,eng_ratio,z-score
-UScZA0z50A,transcript,0.249970084210091,-0.01876,neutral,0.3127016258833097,-0.1333277777777778,inflammatory,4,4,10,-0.1145677777777778,0.0634378393418169,-0.6962711717659456
1oVz0nI7gj8,transcript,0.4490425792728346,-0.17694,inflammatory,0.4165286915796928,-0.0990909090909091,inflammatory,3,2,6,0.0778490909090908,0.0,-0.6967142544726712
2EM-F3VfwUI,transcript,0.4437587768146113,0.10668,sympathetic,0.3605986917956186,0.0270420168067226,neutral,38,44,37,-0.0796379831932773,318.9533938825262,1.5310213454011037
3L2BXNMGTew,transcript,0.5698258128586314,-0.0065799999999999,neutral,0.4055312604001875,0.0290235294117647,neutral,7,6,4,0.0356035294117646,177.89332314137948,0.5457847956796573
3nR468SDg0s,transcript,0.2637452407153539,0.03712,neutral,0.238414783935758,0.079440909090909,sympathetic,6,12,4,0.042320909090909,0.0445969125214408,-0.6964027665513197
46xekr1CEUU,transcript,0.2485967678792304,-0.19536,inflammatory,0.2958807684892173,0.0634795454545454,sympathetic,86,133,45,0.2588395454545454,321.3901245511365,1.5480407336938231
4pM7DLEL7xA,transcript,0.4017977015862584,-0.08984,inflammatory,0.3424997870176606,-0.1555124999999999,inflammatory,1,3,4,-0.0656724999999998,43.013796513051794,-0.3962836347779811
50AKW9lBuNM,transcript,0.1549492271681275,-0.0404599999999999,neutral,0.3622730247767276,-0.0173958263772954,neutral,176,221,202,0.0230641736227045,145.44634061496424,0.3191582744732386
54oSf8j9Eh0,transcript,0.4897109218712607,-0.14472,inflammatory,0.4291206009452276,-0.0912613207547169,inflammatory,59,55,98,0.053458679245283,143.77333973011045,0.3074731703129053
5bjJBcpy9sU,transcript,0.0634957636382144,0.0136799999999999,neutral,0.3377426432321972,0.0213066666666666,neutral,9,14,7,0.0076266666666666,41.17819886190215,-0.4091043989176374
61-61BHIIp0,transcript,0.2383865306597669,-0.18894,inflammatory,0.3032536026443519,0.0313,neutral,44,74,32,0.22024,1.2302843093992308,-0.6881213120347418
6D_RgBOrjI0,transcript,0.387196606390087,-0.1488799999999999,inflammatory,0.3302133632566248,0.0396909365558912,neutral,206,309,147,0.1885709365558911,236.91842636138227,0.9580466692054626
