,source,video_id,post_date_utc,description,text_language,category_type,is_aigc,aigc_description,collected,is_reviewing,likes,comments,shares,views,author_follower_count,author_following_count,author_total_likes,author_video_count
0,TikTok,7564422072143826207,2015-01-21T09:13:49.259000+00:00,"Livie Rose Henderson. some of you really disappointed me and bent over backwards to make this man a victim when he isn't and as a survivor, this is really harmful. It took me a long time to accept what happened to be was essay. indecent exposure is a crime and predators rely on plausible deniability and their privilege as men to be believed over the people they exploit. Having had that happen is traumatic but not being believed and then blamed is being traumatized all over again. I felt betrayed when my friend and coworker assaulted me. and I felt more betrayed when people blamed me and told me what I should have done in that situation as if I should have expected it. ",en,114,False,,False,False,243,0,4,9528,30100,1656,2000000,2217
1,TikTok,7597651587552562446,2015-01-21T11:22:46.109000+00:00,Door Dash girl update 1/20/26  #doordashgirl #oliviahenderson #doordash #doordashdriver #truecrime ,en,114,False,,False,False,146,6,0,5082,76300,6688,3800000,2100
2,TikTok,7573044900816538935,2015-01-21T09:47:16.918000+00:00,Did the DoorDash girl Olivia Henderson    @irlmonsterhighdoll deserve to be arrested? Olivia is being charged with unlawful surveillance and dissemination after she posted a video of a DoorDash customer n*de on his couch. #doordashgirl #arrested #doordashdriver #irlmonsterhighdoll #newyork ,en,114,False,,False,False,686,227,62,154100,106500,5152,11200000,1519
3,TikTok,7573032303660748087,2015-01-21T09:47:13.985000+00:00,Replying to @Briansgurl2018 #doordashgirl #doordash #feminist #feminism #womanism ,un,110,False,,False,False,12,14,2,2169,3183,1865,469600,7151
4,TikTok,7601397437487500557,2015-01-21T11:37:18.258000+00:00,,un,112,False,,False,False,672,15,7,6023,217900,67,7900000,3471
5,TikTok,7573545335025437965,2015-01-21T09:49:13.435000+00:00,Arrestan a @irlmonsterhighdoll por “S3S54L 4SS4LT” ,es,114,False,,False,False,287,15,18,10900,132500,457,7500000,1309
6,TikTok,7581159783873416461,2015-01-21T10:18:46.312000+00:00,"And I couldn’t find a single credible source that said why other than she posted it. Crazy how her abuse got passed over because she tried to get support online. (Also, if you can find sources, please share) #doordash #corruptsystem #aiisbad #fyp #foryoupage ",en,114,False,,False,False,1655,185,64,45000,181,171,16500,4
7,TikTok,7590857534316105015,2015-01-21T10:56:24.245000+00:00,"Kristi says she knew her friend, E.J. Stephen, had been having issues with her ex-fiancé, Shea Briar. But, she says, she never expected E.J. would actually cause Shea any harm.   #indiana #softball #truecrime #news #mystery ",en,114,False,,False,False,64700,87,539,1700000,1900000,20,39600000,1152
8,TikTok,7581198192469970206,2015-01-21T10:18:55.254000+00:00,DoorDash girl Olivia Henderson was seen in court and she plead not guilty #fypシ #viraltiktok #foryou #irlmonsterhighdoll #viralvideo ,en,114,False,,False,False,53200,2796,1102,690600,341300,435,26200000,1817
9,TikTok,7574090008529816845,2015-01-21T09:51:20.251000+00:00,I’m the victim. #,en,120,False,,False,False,262,52,10,65200,259,41,262,1
10,TikTok,7598287476804816141,2015-01-21T11:25:14.163000+00:00,well she’s clearly not an actress…but this proves she was very into crime…#kaylie #imrealllypretty #jodiarias #truecrime,en,101,False,,False,False,86500,642,3969,1400000,5254,40,5900000,130
11,TikTok,7573909044209962271,2015-01-21T09:50:38.117000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update ,en,114,False,,False,False,196,9,3,19100,14600,3,110700,230
12,TikTok,7573171580776287502,2015-01-21T09:47:46.413000+00:00,DoorDash girl Olivia Henderson has been arrested and is facing two felony charges#doordash #doordashgirl #breakingnews #viral #fyp,en,114,False,,False,False,83,10,1,3699,9808,0,176700,48
13,TikTok,7573390228866583830,2015-01-21T09:48:37.321000+00:00,#fyp #randomcontent #foryouu #blowup? #foryoupage ,un,120,False,,False,False,36,2,0,633,2184,222,479100,426
14,TikTok,7573700903971147038,2015-01-21T09:49:49.656000+00:00,Olivia Henderson Is NOT A Victim #savictim  #doordasher  #SA #storytimes #doordash,en,114,False,,False,False,40,14,1,2940,1648,489,98400,836
15,TikTok,7573092709662035255,2015-01-21T09:47:28.050000+00:00,Replying to @Albino-poet #doordashgirl #survivors #doordash #oliviahenderson ,un,114,False,,False,False,31,3,1,1095,6561,3747,134200,2465
16,TikTok,7573150399742348574,2015-01-21T09:47:41.482000+00:00,Olivia Henderson AKA DoorDash Girl has been ARRESTED! 11/15 #fyp #news #breakingnews #truecrime #doordash,en,114,False,,False,False,323,30,102,121200,12400,0,16900,48
17,TikTok,6961453349216505094,2015-01-19T18:13:59.664000+00:00,@emma_lee_brooks BEAT THAT! HA! 😜✌️✨🦩🦄📸💋👛🍭 #oliviahendersonisaqueen,en,120,False,,False,False,29,1,0,223,211,68,1229,28
18,TikTok,7585043072292064525,2015-01-21T10:33:50.460000+00:00,DoorDash girl Olivia Henderson was seen in court and she plead not guilty #fypシ #viraltiktok #foryou #irlmonsterhighdoll #viralvideo,en,114,False,,False,False,64,2,4,5859,27500,55,350700,309
19,TikTok,7597360906691038495,2015-01-21T11:21:38.429000+00:00,Update on DoorDash girl aka Olivia Henderson as she made her first court appearance. She was formally charged and entered her plea.She didn't seem thrilled about the cameras there #doordashgirl #oliviahenderson #irlmonsterhighdoll #update #court,en,114,False,,False,False,581,27,21,44400,10200,0,5092,11
20,TikTok,7534830336845335839,2015-01-21T07:18:59.397000+00:00,,un,109,False,,False,False,50,4,1,416,6515,5230,76500,1143
21,TikTok,7566634207510809887,2015-01-21T09:22:24.312000+00:00,#stitch with @skiii.2025 #realisrare💯 #doordashgirl #imfamous #fypシ ,un,105,False,,False,False,12,0,4,7282,3989,4750,10800,672
22,TikTok,7577954001912843551,2015-01-21T10:06:19.907000+00:00,@jules is shadowbanned #doordashgirl #doordashdriver #oliviahenderson #doordash,un,105,False,,False,False,66,38,8,12200,4466,1080,7827,213
23,TikTok,7601244103803751693,2015-01-21T11:36:42.557000+00:00,,un,112,False,,False,False,1724,86,73,15000,217900,67,7900000,3471
24,TikTok,7598325818925862175,2015-01-21T11:25:23.091000+00:00,Door dash girl update / Olivia Henderson ,en,114,False,,False,False,590,33,6,11700,57100,42,14400000,1803
25,TikTok,7563799657902558519,2015-01-21T09:11:24.342000+00:00,Replying to @MukkerG✝️ Man finally told his side of the story and what happened  #DoorDashGirl #DoorDash #Sora #Ai #trending ,en,120,False,,False,False,131,12,16,27500,2993,191,470900,51
26,TikTok,7573476816464219422,2015-01-21T09:48:57.481000+00:00,"Predators and thoughtless bums dni, this is not a ground for open debate so yes anyone disagreeing with me or spouting bs will be deleted😝",en,114,False,,False,False,45,5,1,1667,2145,51,470400,310
27,TikTok,7582171162948422943,2015-01-21T10:22:41.792000+00:00,"The truth about the DoorDash camera footage. People are still confused, so here’s what was actually confirmed in court. #DoorDashUpdate #OliviaHenderson #RingCamera #CaseUpdate #CourtNews #ViralStory #TrendingNow #ForYou #FYP #SafetyFirst",en,114,False,,False,False,128,12,2,23500,10400,69,9163,81
28,TikTok,7575535617409305886,2015-01-21T09:56:56.833000+00:00,Replying to @Glenn Dale McGee #doordashgirl #oliviahenderson #legaltok #fyp  ,un,105,False,,False,False,855,130,17,50800,2586,559,137100,1342
29,TikTok,7574754812403715359,2015-01-21T09:53:55.038000+00:00,DoorDash Girls Initial Police Report #truecrimetok #tiktokea #doordash #doordashdriver #arrested,en,114,False,,False,False,410,26,47,78900,33400,8,1600000,7
30,TikTok,7412075667224841503,2015-01-20T23:22:38.348000+00:00,,un,120,False,,False,False,3,0,0,73,111,1947,75,22
31,TikTok,7575119565064080654,2015-01-21T09:55:19.964000+00:00,😳 DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson ,en,114,False,,False,False,105,9,8,17600,12200,8,50800,133
32,TikTok,7597527444555402526,2015-01-21T11:22:17.205000+00:00,Tiktok DoorDash Girl Trial Update straight out of court: Things got worse for Olivia Henderson known online as the DoorDash Girl. For allegedly opening the door to her customer and filmed him nude within his home and posted it on TikTok. It seems like the prosecutors have divested the case to county court which is a higher level court. This move makes it look like it’s less likely for her to get a slap on the wrist. She’s currently facing 2 felonies: unlawful surveillance and dissemination of an unlawful surveillance. Which has a max penalty of 8 years in prison combined and minimum sentence of a couple years on probation.,en,114,False,,False,False,956,32,23,20900,28900,154,1400000,385
33,TikTok,7565264727253765407,2015-01-21T09:17:05.455000+00:00,#fyp #xyzbca #blowthisup #newyork #doordash TikTok keeps taking my video down,en,114,False,,False,False,1012,75,130,215500,179,843,8555,259
34,TikTok,7573090974365256990,2015-01-21T09:47:27.646000+00:00,"""Doordash Girl"" Olivia Henderson got arrested for posting the videos of Austin N. #doordash #sa #newyork #controversy #fyp ",en,114,False,,False,False,2280,344,91,222900,25100,9997,598800,1814
35,TikTok,7575198663358647566,2015-01-21T09:55:38.380000+00:00,Part 1: The Viral Doordash Girl Has Been ARRESTED #amalaekpunobi #prageru #talkshowhost,en,114,False,,False,False,446,41,33,36100,18800,0,236600,397
36,TikTok,7155667613039758638,2015-01-20T06:47:38.696000+00:00,,un,110,False,,False,False,41,0,0,229,82,167,935,18
37,TikTok,7573792563392531725,2015-01-21T09:50:10.997000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update ,en,114,False,,False,False,50300,2521,1466,1000000,325300,0,52000000,2014
