,source,tag,video_id,post_date_utc,description,text_language,category_type,is_aigc,aigc_description,collected,is_reviewing,likes,comments,shares,views,author_follower_count,author_following_count,author_total_likes,author_video_count,datetime
0,TikTok,OliviaHenderson,7.57304E+18,2027-03-20 14:31:59.722000+00:00,When running to social media goes wrong. DoorDash girl has been arrested and charged with 2 felonies. ,en,114,FALSE,,FALSE,FALSE,2019,306,27,49300,62600,765,1000000,687,11/15/2025 13:37
1,TikTok,OliviaHenderson,7.59177E+18,2027-05-11 07:20:27.720000+00:00,"Police have now confirmed new details in the Olivia Henderson / “DoorDash girl” case and it changes everything. Authorities say her story did not align with the evidence, there is no evidence of a sexual assault, and that Ring camera footage reportedly shows she opened the door herself. Police also say there is no evidence the man invited her inside, and even her own TikTok video admitted the instructions said to leave the food at the door, not enter the home. We didn’t “switch up.” We didn’t jump on a bandwagon. We noticed inconsistencies from the very beginning and got attacked for it. Now the police are backing what many of us said all along. #fyp #doordash #commentary #tiktoknews #drama",en,114,FALSE,,FALSE,FALSE,52,3,0,4133,10400,0,9322,182,1/5/2026 1:21
2,TikTok,OliviaHenderson,7.57307E+18,2027-03-20 16:32:17.807000+00:00,#doordash #oliviahenderson #arrested,un,114,FALSE,,FALSE,FALSE,195,20,12,3048,60400,2906,3800000,914,11/15/2025 15:35
3,TikTok,OliviaHenderson,7.57359E+18,2027-03-22 03:17:20.013000+00:00,DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson,en,114,FALSE,,FALSE,FALSE,156,14,9,20300,10300,0,8135,83,11/17/2025 1:31
4,TikTok,OliviaHenderson,7.5817E+18,2027-04-13 12:19:20.010000+00:00,DoorDash girl Olivia Henderson was seen in court and she plead not guilty #fyp #viraltiktok #foryou #irimonsterhighdoll #viralvideo,en,114,FALSE,,FALSE,FALSE,25,6,1,13400,2,0,117,9,12/8/2025 21:58
6,TikTok,OliviaHenderson,7.56526E+18,2027-02-27 03:41:06.799000+00:00,#fyp #xyzbca #blowthisup #newyork #doordash TikTok keeps taking my video down,en,114,FALSE,,FALSE,FALSE,1012,75,130,215500,179,843,8555,259,10/25/2025 15:50
7,TikTok,OliviaHenderson,7.57341E+18,2027-03-21 15:05:34.140000+00:00,"#dayichisme  	#OliviaHenderson 	•	#CasoOlivia 	•	#DoorDashNews 	•	#HistoriaReal",un,114,FALSE,,FALSE,FALSE,160,4,1,9515,32300,464,1200000,1233,11/16/2025 13:36
8,TikTok,OliviaHenderson,7.56468E+18,2027-02-25 12:52:06.299000+00:00,The Livie Rose Henderson Case. #analoghorror #truestory #horrorstory #horrortok #scary ,en,120,FALSE,,FALSE,FALSE,4339,187,80,298600,71,0,4482,8,10/24/2025 1:56
9,TikTok,OliviaHenderson,7.57507E+18,2027-03-26 04:49:52.160000+00:00,Olivia Henderson aka DoorDash girl has been arrested #viralvideo #trending #fyp #foryoupage,en,114,FALSE,,FALSE,FALSE,857,57,54,37700,12400,3,87100,75,11/21/2025 0:46
10,TikTok,OliviaHenderson,7.57423E+18,2027-03-23 21:10:24.641000+00:00,Olivia Henderson AKA “Door Dash Girl” arrested and charged with TWO FELONIES 😬 #oliviahenderson #doordashgirl #doordash #teatok ,en,114,FALSE,,FALSE,FALSE,97,12,1,21000,393600,321,31400000,1259,11/18/2025 18:25
11,TikTok,OliviaHenderson,7.57306E+18,2027-03-20 15:43:47.380000+00:00,DoorDash Girl (Olivia Henderson) Update #blacktiktok ,en,114,FALSE,,FALSE,FALSE,6622,438,130,95600,57100,42,14400000,1803,11/15/2025 14:47
