source,tag,video_id,post_date_utc,description,text_language,category_type,is_aigc,aigc_description,collected,is_reviewing,likes,comments,shares,views,author_follower_count,author_following_count,author_total_likes,author_video_count
TikTok,OliviaHenderson,7.57304E+18,2015-01-21T09:47:15.468000+00:00,When running to social media goes wrong. DoorDash girl has been arrested and charged with 2 felonies. ,en,114,FALSE,,FALSE,FALSE,2019,306,27,49300,62600,765,1000000,687
TikTok,OliviaHenderson,7.59177E+18,2015-01-21T10:59:57.683000+00:00,"Police have now confirmed new details in the Olivia Henderson / “DoorDash girl” case and it changes everything. Authorities say her story did not align with the evidence, there is no evidence of a sexual assault, and that Ring camera footage reportedly shows she opened the door herself. Police also say there is no evidence the man invited her inside, and even her own TikTok video admitted the instructions said to leave the food at the door, not enter the home. We didn’t “switch up.” We didn’t jump on a bandwagon. We noticed inconsistencies from the very beginning and got attacked for it. Now the police are backing what many of us said all along. #fyp #doordash #commentary #tiktoknews #drama",en,114,FALSE,,FALSE,FALSE,52,3,0,4133,10400,0,9322,182
TikTok,OliviaHenderson,7.57307E+18,2015-01-21T09:47:22.517000+00:00,#doordash #oliviahenderson #arrested,un,114,FALSE,,FALSE,FALSE,195,20,12,3048,60400,2906,3800000,914
TikTok,OliviaHenderson,7.57359E+18,2015-01-21T09:49:24.687000+00:00,DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson,en,114,FALSE,,FALSE,FALSE,156,14,9,20300,10300,0,8135,83
TikTok,OliviaHenderson,7.5817E+18,2015-01-21T10:20:52.695000+00:00,DoorDash girl Olivia Henderson was seen in court and she plead not guilty #fyp #viraltiktok #foryou #irimonsterhighdoll #viralvideo,en,114,FALSE,,FALSE,FALSE,25,6,1,13400,2,0,117,9
TikTok,OliviaHenderson,6.90873E+18,2015-01-19T14:49:24.723000+00:00,asmr?? #asmr#presacanario,en,120,FALSE,,FALSE,FALSE,1,0,0,39,27,222,55,13
TikTok,OliviaHenderson,7.56526E+18,2015-01-21T09:17:05.455000+00:00,#fyp #xyzbca #blowthisup #newyork #doordash TikTok keeps taking my video down,en,114,FALSE,,FALSE,FALSE,1012,75,130,215500,179,843,8555,259
TikTok,OliviaHenderson,7.57341E+18,2015-01-21T09:48:41.810000+00:00,"#dayichisme  	#OliviaHenderson 	•	#CasoOlivia 	•	#DoorDashNews 	•	#HistoriaReal",un,114,FALSE,,FALSE,FALSE,160,4,1,9515,32300,464,1200000,1233
TikTok,OliviaHenderson,7.56468E+18,2015-01-21T09:14:48.990000+00:00,The Livie Rose Henderson Case. #analoghorror #truestory #horrorstory #horrortok #scary ,en,120,FALSE,,FALSE,FALSE,4339,187,80,298600,71,0,4482,8
TikTok,OliviaHenderson,7.57507E+18,2015-01-21T09:55:07.609000+00:00,Olivia Henderson aka DoorDash girl has been arrested #viralvideo #trending #fyp #foryoupage,en,114,FALSE,,FALSE,FALSE,857,57,54,37700,12400,3,87100,75
TikTok,OliviaHenderson,7.57423E+18,2015-01-21T09:51:51.938000+00:00,Olivia Henderson AKA “Door Dash Girl” arrested and charged with TWO FELONIES 😬 #oliviahenderson #doordashgirl #doordash #teatok ,en,114,FALSE,,FALSE,FALSE,97,12,1,21000,393600,321,31400000,1259
TikTok,OliviaHenderson,7.57306E+18,2015-01-21T09:47:19.675000+00:00,DoorDash Girl (Olivia Henderson) Update #blacktiktok ,en,114,FALSE,,FALSE,FALSE,6622,438,130,95600,57100,42,14400000,1803
TikTok,OliviaHenderson,7.58174E+18,2015-01-21T10:21:00.479000+00:00,Olivia Henderson aka DoorDash girl has been arrested #viralvideo #trending #fypシ #foryoupage,en,114,FALSE,,FALSE,FALSE,106,8,29,2849,10700,0,11300,50
TikTok,OliviaHenderson,7.57392E+18,2015-01-21T09:50:40.771000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY! #fyp #news #oliviahenderson #doordash #update,en,114,FALSE,,FALSE,FALSE,1387,76,84,143300,12500,0,42600,42
TikTok,OliviaHenderson,7.57401E+18,2015-01-21T09:51:01.098000+00:00,WE NOW HAVE THE MALE VICTIMS SIDE OF THE STORY!#fyp #news #oliviahenderson #doordash #update,en,114,FALSE,,FALSE,FALSE,151,1,6,3837,9896,0,6603,54
TikTok,OliviaHenderson,7.57372E+18,2015-01-21T09:49:53.589000+00:00,Doordash girl was arrested Aka Livie Henderson. This is the last video I'm making on this subject. Trolls will be blocked.,en,114,FALSE,,FALSE,FALSE,130,0,2,3388,30100,1656,2000000,2217
TikTok,OliviaHenderson,7.57696E+18,2015-01-21T10:02:27.893000+00:00,😳 DoorDash girl ARRESTED for TWO felonies!!#doordashgirl #oliviahenderson,en,114,FALSE,,FALSE,FALSE,347,26,20,61600,10300,0,17600,127
TikTok,OliviaHenderson,7.5777E+18,2015-01-21T10:05:19.680000+00:00,😳 DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson,en,114,FALSE,,FALSE,FALSE,42,2,0,6731,10,0,249,26
TikTok,OliviaHenderson,7.57345E+18,2015-01-21T09:48:51.612000+00:00,Think before you post ! #storytelling #storytimes #oliviahenderson #doordash #greenscreensticker ,en,114,FALSE,,FALSE,FALSE,13400,431,175,153700,11900,25,409800,46
TikTok,OliviaHenderson,7.57355E+18,2015-01-21T09:49:14.361000+00:00,Replying to @ghettoasskorean #themanicuredmom #doordashgirl #oliviahendersen #falseallegationsruinlives #idontbelieveallwomen ,un,114,FALSE,,FALSE,FALSE,3697,382,74,290800,260000,3374,4800000,2230
TikTok,OliviaHenderson,7.57848E+18,2015-01-21T10:08:22.463000+00:00,😳 DoorDash girl ARRESTED for TWO felonies!! #doordashgirl #oliviahenderson ,en,114,FALSE,,FALSE,FALSE,127,10,1,2957,13100,28,160200,766
TikTok,OliviaHenderson,7.57326E+18,2015-01-21T09:48:07.779000+00:00,Olivia Henderson KAK DoorDash Girl has been ARRESTED! 11/15 #fyp #news #breakingnews #truecrime #doordash ,en,114,FALSE,,FALSE,FALSE,122,3,5,19200,12000,1,133900,233
TikTok,OliviaHenderson,7.59765E+18,2015-01-21T11:22:46.109000+00:00,Door Dash girl update 1/20/26  #doordashgirl #oliviahenderson #doordash #doordashdriver #truecrime ,en,114,FALSE,,FALSE,FALSE,146,6,0,5089,76400,6688,3800000,2101
