bigram,count
sexual assault,87
unlawful surveillance,72
doordash driver,55
doordash delivery,28
surveillance image,28
tiktok video,24
doordash customer,21
doordash girl,20
doordash account,20
surveillance degree,17
doordash tiktok,16
tiktok account,15
henderson doordash,14
assault occurred,13
henderson tiktok,12
customer doordash,12
doordash deactivated,11
posted tiktok,11
video tiktok,11
court december,11
doordash employee,10
tiktok post,9
male doordash,9
tiktok videos,9
city court,9
assault harassment,8
appear court,8
tiktok page,8
assault doordashing,8
tiktok doordash,7
