keyword,count
henderson,77
video,64
doordash,56
customer,47
tiktok,44
oswego,28
videos,28
driver,25
incident,25
assault,24
account,22
man,21
door,19
people,18
home,18
delivery,17
couch,17
surveillance,16
olivia,14
content,11
residence,11
post,11
order,11
media,10
charges,10
court,10
degree,10
larose,9
bot,9
investigation,9
new,8
york,8
comment,8
house,8
alcohol,8
company,8
count,8
dasher,8
crime,8
arrest,7
dissemination,7
victim,7
male,7
footage,7
page,7
policies,7
felony,7
violation,7
details,7
october,6
